Name,Advertiser,Traffic,Type,Action,Payout,Countries,States Restrictions,Tracking Link
McLuck | Reg Page | SEO,McLuck,seo,cpa,sale,$250.00,"US, CA","Restricted in: ID, KY, MI, MT, NV, WA, LA, DE, NJ, NY, OH, MD, WV, CT, QC, CA, TN, IN",https://tracker.gemified.io/r/IfwzBLhob64t/67fd0f0908d1190d074d0da3
Pulsz | Reg Page | SEO,Pulsz,seo,cpa,sale,$250.00,US,"Restricted in: WA, ID, MI, MT, NV, AL, TN, CT, NY, LA, MS, WV, MD, AZ, CA, NJ, IN, ME",https://tracker.gemified.io/r/IfwzBLhob64t/67fd143b3d46f08cc61b8199
Casino Click | Homepage | SEO,Casino Click,seo,cpa,sale,$200.00,US,"Restricted in: ID, KY, MI, MD, NV, WA, CA, CT, MT, NY",https://tracker.gemified.io/r/IfwzBLhob64t/67fd1998570905aaacec84b7
Casino Click | Reg Page | SEO,Casino Click,seo,cpa,sale,$200.00,US,"Restricted in: ID, KY, MI, MD, NV, WA, CA, CT, MT, NY",https://tracker.gemified.io/r/IfwzBLhob64t/67fd1ab6ecdf296d408056e1
SpinBlitz | Reg Page | SEO,SpinBlitz,seo,cpa,sale,$200.00,US,"Restricted in: ID, KY, MI, MT, NV, WA, LA, DE, NJ, NY, OH, MD, WV, CT, CA, TN, IN",https://tracker.gemified.io/r/IfwzBLhob64t/6830291f7833e7518b44aaa7
HelloMillions | Reg Page | SEO,HelloMillions,seo,cpa,sale,$230.00,US,"Restricted in: ID, KY, LA, MD, MI, MT, NV, NY, WA, WV, CA, TN, IN, DE, NJ, OH, CT",https://tracker.gemified.io/r/IfwzBLhob64t/6839a8aabfaf29f4ad1d710f
CrownCoins | Reg Page | SEO,CrownCoins Casino,seo,cpa,sale,$230.00,US,"Restricted in: ID, MI, NV, WA, MT, LA, CT, NY, NJ, CA, IN",https://tracker.gemified.io/r/IfwzBLhob64t/6846f91db5a0aef86a89c82f
Legendz | Reg Page | SEO,Legendz,seo,cpa,sale,$200.00,US,"Restricted in: WA, NV, NE, MD, MI, ID, ND, KY, WV, CT, NY, LA, NJ, CA, TN, IL, IN",https://tracker.gemified.io/r/IfwzBLhob64t/68498faeb5a0aef86a89f63b
PlayFame | Reg Page | SEO,PlayFame,seo,cpa,sale,$220.00,US,"Restricted in: ID, KY, MI, MT, NV, WA, LA, DE, NJ, NY, OH, MD, WV, CT, CA, TN, IN",https://tracker.gemified.io/r/IfwzBLhob64t/6852b86a2811510748242f49
Spree | Reg Page | SEO,Spree,seo,cpa,sale,$180.00,US,"Restricted in: MT, AL, WA, ID, NV, KY, GA, LA, DE, WV, MI, MD, CT, NJ, NY, CA, TN, IL",https://tracker.gemified.io/r/IfwzBLhob64t/685a92e2947366d354d37430
Thrillzz | Reg Page | SEO,Thrillzz,seo,cpa,sale,$200.00,US,"Restricted in: AL, CT, GA, HI, ID, KY, LA, MI, MS, MT, NY, NV, OH, WA",https://tracker.gemified.io/r/IfwzBLhob64t/68750a473eb8fc6bed64abbb
Zula Casino | Reg Page | RS,Zula Casino,"social-media, native, gdn, in-app, ppc, seo, aso, pop",revshare,sale,$0.00,US,"Restricted in: ID, MI, WA",https://tracker.gemified.io/r/IfwzBLhob64t/68930e11bfbdf41d51d3d78b
RoxyMoxy | Home Page | SEO,RoxyMoxy,seo,cpa,sale,$160.00,US,"Restricted in: CT, DE, ID, LA, MI, MT, NV, NJ, NY, PA, WA, WV, CA, AZ, KY, UT, MN, TN, MD, IN",https://tracker.gemified.io/r/IfwzBLhob64t/68ad7b59acc04452caf30db3
Card Crush | Reg Page | SEO,Card Crush,seo,cpa,sale,$200.00,US,"Available in: CA, NY",https://tracker.gemified.io/r/IfwzBLhob64t/69caa16701e1ec3e1f1d9a5c
